Subject,Start Date,End Date,All Day Event,Description,Location
Juneteenth - Class in Session,06/19/2035,06/19/2035,True,,
Fourth of July - University Closed,07/04/2034,07/04/2034,True,,
Fourth of July - University Closed,07/04/2035,07/04/2035,True,,
Labor Day - University Closed,09/04/2034,09/04/2034,True,,
MLK Day - University Closed,01/15/2035,01/15/2035,True,,
President’s Designated Holiday,12/30/2034,12/30/2034,True,,
Christmas Holiday - University Closed,12/23/2034,12/25/2034,True,,
New Year’s Day - University Closed,01/01/2035,01/01/2035,True,,
Classes/Term Begin,08/20/2035,08/20/2035,True,,
Classes/Term Begin,12/17/2035,12/17/2035,True,,
Classes/Term Begin,01/14/2036,01/14/2036,True,,
Classes/Term Begin,05/19/2036,05/19/2036,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/14/2035,09/14/2035,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/08/2036,02/08/2036,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/13/2036,06/13/2036,True,,
Classes End,12/08/2035,12/08/2035,True,,
Classes End,01/04/2036,01/04/2036,True,,
Classes End,05/03/2036,05/03/2036,True,,
Classes End,08/08/2036,08/08/2036,True,,
Final Exams,12/10/2035,12/16/2035,True,,
Final Exams,05/05/2036,05/11/2036,True,,
Term Ends,12/15/2035,12/15/2035,True,,
Term Ends,01/04/2036,01/04/2036,True,,
Term Ends,05/10/2036,05/10/2036,True,,
Term Ends,08/08/2036,08/08/2036,True,,
Commencements,12/16/2035,12/16/2035,True,,
Commencements,05/16/2036,05/19/2036,True,,
Commencements,08/09/2036,08/09/2036,True,,
Fall Break,10/08/2035,10/10/2035,True,,
Spring Break,03/17/2036,03/23/2036,True,,
Thanksgiving Break,11/21/2035,11/25/2035,True,,
Memorial Day - University Closed,05/26/2036,05/26/2036,True,,
Juneteenth - Class in Session,06/19/2036,06/19/2036,True,,
Fourth of July - University Closed,07/04/2036,07/04/2036,True,,
Labor Day - University Closed,09/03/2035,09/03/2035,True,,
MLK Day - University Closed,01/21/2036,01/21/2036,True,,
President’s Designated Holiday,12/30/2035,12/30/2035,True,,
Christmas Holiday - University Closed,12/24/2035,12/26/2035,True,,
New Year’s Day - University Closed,01/01/2036,01/01/2036,True,,
